premise_type,premise
neutral,Alice and Bob learn soap making. They discuss crafting.
neutral,Alice and Bob are members of a documentary film club. They discuss documentary subjects.
neutral,Alice and Bob use a local makerspace. They discuss project ideas.
neutral,Alice and Bob explore street food. They discuss culinary diversity.
neutral,Alice and Bob participate in a mystery-solving event. They discuss the process of deduction.
neutral,Alice and Bob explore urban areas. They discuss urban exploration.
neutral,Alice and Bob attend a tattoo art convention. They discuss tattoo designs and meanings.
neutral,Alice and Bob plan a weekend getaway. They discuss potential destinations.
neutral,Alice and Bob are members of a public speaking club. They discuss speech topics.
neutral,Alice and Bob participate in a city run. They discuss their preparation for the event.
neutral,Alice and Bob discuss digital art and graphic design.
neutral,Alice and Bob help each other learn a new language. They discuss learning methods.
neutral,Alice and Bob watch a historical documentary. They discuss historical events.
neutral,Alice and Bob discuss budget travel options and tips.
neutral,Alice and Bob participate in an ecology walk. They discuss local ecosystems.
neutral,Alice and Bob discuss their latest non-fiction reads.
neutral,Alice and Bob discuss designing a public garden.
neutral,Alice and Bob cook dishes from different parts of the world. They discuss cooking techniques.
neutral,Alice and Bob organize a series of workshops. They discuss different workshop themes.
neutral,Alice and Bob discuss the themes in their latest book club read.
neutral,Alice and Bob attend a meetup for local authors. They discuss writing processes.
neutral,Alice and Bob host a virtual game night. They discuss organizing online events.
neutral,Alice and Bob are siblings. They discuss what they should do for their mother's upcoming birthday.
